Theme,Indicator,Dataset,Indicator ,Location
Participation in the Labour Market,Working-age population in the labour force (participation rate),rateDT, Working-age population in the labour force (participation rate),1
Participation in the Labour Market,Working-age population in employment (employment rate),rateDT, Working-age population in employment (employment rate),2
Participation in the Labour Market,Working-age population in unemployment (unemployment rate),rateDT, Working-age population in employment (unemployment rate),3
Participation in the Labour Market,Workers working mainly full-time weeks in the previous year,rateDT, Workers working mainly full-time weeks in the previous year (Population in full-time employment),4
Participation in the Labour Market,Self-employed workers in the labour force (unincorporated),representationDT, Workers working mainly full-time weeks in the previous year (Population in full-time employment),4
Participation in the Labour Market,Overqualified workers with a university degree,OverQualDT, Overqualified workers with a university degree,NA
Participation in the Labour Market,"Youth not in employment, education or training (NEET)",YouthDT," Youth not in employment, education or training (NEET)",NA
Participation in the Labour Market,Average employment income of the population,incomeDT, Average employment income of the population,1
Participation in the Labour Market,Average weekly wage of paid employees,incomeDT, Average weekly wage of paid employees,2
Participation in the Labour Market,Currently employed population considering their job related to their education,,,
Participation in the Labour Market,Paid employees considering their current job good for career advancement,,,
Participation in the Labour Market,Paid employees receiving at least one employment benefit in their current job,,,
Participation in the Labour Market,Paid employees having pension plan in their current job,,,
Participation in the Labour Market,Paid employees having paid sick leave in their current job,,,
Participation in the Labour Market,Paid employees having paid vacation leave in their current job,,,
Participation in the Labour Market,Paid employees having disability insurance in their current job,,,
Participation in the Labour Market,Paid employees having supplemental medical care in their current job,,,
Participation in the Labour Market,Paid employees having worker's compensation in their current job,,,
Participation in the Labour Market,"Paid employees having maternity, paternity or lay-off benefits in their current job",,,
Participation in the Labour Market,Paid employees covered by union contract or collective agreement in their current job,,,
Participation in the Labour Market,Paid employees receiving formal training in their current job,,,
Participation in the Labour Market,Paid employees receiving informal training in their current job,,,
Civic engagement and political participation,Percent of the population members of at least one civic group or organization,civicDT," Member or participant of at least one group, organization or association",1
Civic engagement and political participation,Percent of the population members in a sports or recreational organization,civicDT, Member or participant in sports or recreational organization,2
Civic engagement and political participation,"Percent of the population members in a cultural, educational or hobby organization",civicDT," Member or participant in cultural, educational or hobby organization",3
Civic engagement and political participation,Percent of the population members in union or professional association,civicDT, Member or participant in union or professional association,4
Civic engagement and political participation,Percent of the population members in a political party or group,civicDT, Member or participant in political party or group,5
Civic engagement and political participation,Percent of the population members in a religious-affiliated group,civicDT, Member or participant in religious-affiliated group,6
Civic engagement and political participation,"Percent of the population members in a school group, neighbourhood, civic or community association",civicDT," Member or participant in school group, neighbourhood, civic or community association",7
Civic engagement and political participation,Percent of the population members in a humanitarian or charitable organization or service club,civicDT, Member or participant in humanitarian or charitable organization or service club,8
Civic engagement and political participation,Percent of the population members in a seniors' group,civicDT, Member or participant in seniors' group,9
Civic engagement and political participation,Percent of the population members in a youth organization,civicDT, Member or participant in youth organization,10
Civic engagement and political participation,Percent of the population members in an immigrant or ethnic association or club,civicDT, Member or participant in immigrant or ethnic association or club,11
Civic engagement and political participation,Percent of the population members in an environmental group ,civicDT,  Member or participant in environmental group,12
Civic engagement and political participation,Percent of the population engaged in political activities,civicDT, Engaged in political activities,13
Civic engagement and political participation,Percent of the population voting in the last federal election,civicDT2, Voted in last federal election,1
